Customer ID,Gender,Age,Income,Occupation,Marital Status,No. Family Members,Home Ownership,Home Value,Years in Current Home,Credit Score,Number of Credit Cards,Total Credit Card Limit,Total Credit Card Balance,Product ID,Products Purchased,Number of Online Purchases,Average Purchase Value,Last Purchase Value,Days Since Last Purchase,Number of Returns,Total Values of Returns,Locations
C014,Male,31,36566,Self-employed,Widowed,5,Rent,485248,12,590,3,19707,12879,P014,Outdoor Gear,6,145.0798843,49.42494849,14,5,24.32769665,Bhopal
C015,Male,62,58322,Technician,Widowed,2,Rent,200432,3,739,5,25849,11151,P015,Outdoor Gear,12,99.96939935,39.75081417,142,1,90.26454017,Surat
C016,Male,28,30177,Manager,Married,2,Own,541856,11,698,2,13103,19457,P016,Books,17,200.0114915,50.59365084,125,5,18.05956411,Mumbai
C017,Female,41,24135,Homemaker,Single,3,Own,921381,9,992,4,10306,8391,P017,Beauty Products,19,105.0779064,35.61612447,129,4,95.06669082,Hyderabad
C018,Male,22,55041,Technician,Married,3,Own,560101,13,543,1,24628,5360,P018,Electronics,20,199.1076726,107.2515357,13,0,19.9691751,Delhi
C019,Male,60,58386,Homemaker,Divorced,3,Own,425586,3,714,3,9702,24466,P019,Outdoor Gear,0,53.96476295,119.7522272,59,5,26.58215921,Surat
C020,Male,28,42300,Technician,Divorced,5,Rent,95013,17,812,1,21687,8383,P020,Home Appliances,13,91.92363095,109.7858102,73,1,74.34061221,Patna
C021,Male,30,27138,Self-employed,Married,3,Rent,278478,10,748,1,5405,7218,P021,Outdoor Gear,14,169.3842429,155.8099415,65,3,50.14528336,Ahmedabad
C022,Male,29,39806,Manager,Divorced,2,Own,758477,3,598,2,28368,6594,P022,Jewelry,3,173.5340424,109.6292472,74,0,92.56706716,Agra
C023,Male,54,22542,Manager,Widowed,4,Rent,68475,12,617,3,25734,24822,P023,Outdoor Gear,11,144.920045,47.95174212,94,3,45.1939037,Surat
C024,Female,57,43856,Technician,Divorced,3,Rent,522942,2,570,5,13833,23146,P024,Beauty Products,0,132.9051385,107.3854302,66,2,52.87014499,Kolkata
C025,Female,43,26798,Student,Married,2,Rent,833299,2,530,5,20506,15953,P025,Jewelry,0,105.5952108,61.89879282,136,0,42.08694642,Vadodara
C026,Male,40,46704,Self-employed,Single,3,Own,294375,11,850,2,20789,10208,P026,Electronics,5,26.86384433,81.66616023,117,4,51.03142177,Kanpur
C027,Male,36,39172,Homemaker,Widowed,5,Rent,62711,4,856,1,19845,7490,P027,Jewelry,15,116.1941715,65.01688591,129,3,119.2312123,Patna
C028,Female,44,25122,Self-employed,Widowed,2,Rent,271963,17,587,3,5540,17945,P028,Books,3,109.0207208,121.2311047,17,5,40.04415095,Mumbai
C029,Male,26,32165,Self-employed,Divorced,3,Own,780485,8,513,5,28514,3322,P029,Jewelry,9,81.47594687,117.5336918,136,3,22.71556818,Agra
C030,Female,61,28825,Technician,Single,4,Rent,808237,13,956,5,21035,20063,P030,Outdoor Gear,11,78.81893103,68.22744043,149,4,28.65182316,Lucknow
C031,Female,63,32189,Professional,Single,3,Rent,971841,17,721,5,25829,12740,P031,Home Appliances,13,21.40000187,63.62749296,43,5,75.83903865,Hyderabad
C032,Male,35,55520,Student,Divorced,3,Own,858499,15,818,3,19394,4830,P032,Outdoor Gear,15,173.2475626,122.1164615,88,3,58.11262033,Kanpur
C033,Male,24,23659,Professional,Divorced,3,Rent,220244,8,870,5,7365,14836,P033,Clothing,0,93.06418731,122.4438647,111,2,45.94201596,Ahmedabad
C034,Female,50,44622,Technician,Widowed,5,Rent,312228,4,833,1,13713,21100,P034,Beauty Products,12,97.05955979,74.11723605,167,0,15.40062766,Bangalore
C035,Female,43,31724,Homemaker,Widowed,4,Own,282963,5,534,2,15758,6857,P035,Beauty Products,12,64.1463372,104.1910563,26,4,62.59176796,Pune
C036,Female,60,40056,Professional,Divorced,5,Rent,260677,18,601,3,27520,17240,P036,Clothing,6,166.0068018,92.49823624,78,1,62.96205623,Vadodara
C037,Male,28,31479,Homemaker,Widowed,2,Rent,137157,8,891,1,27309,17626,P037,Electronics,8,166.8260713,102.3634894,105,0,42.77812022,Kolkata
C038,Female,23,25672,Technician,Married,5,Own,883041,20,803,5,9079,22883,P038,Outdoor Gear,7,54.17912242,31.63133606,49,1,139.0502279,Visakhapatnam
C039,Male,47,48585,Professional,Divorced,2,Own,167890,10,842,2,20177,13933,P039,Electronics,11,7.883181629,68.71423164,53,1,31.85013139,Kanpur
C040,Male,48,39639,Technician,Widowed,3,Own,562541,18,691,3,21086,14433,P040,Beauty Products,15,29.56651055,107.6136772,137,0,70.90007283,Bhopal
C041,Female,59,37042,Student,Married,2,Own,123061,2,859,4,14076,15835,P041,Outdoor Gear,15,45.07235471,124.4303074,155,4,88.97855767,Mumbai
C042,Female,36,33295,Professional,Divorced,2,Own,506644,4,620,2,11511,9106,P042,Jewelry,6,25.94206466,109.1312226,74,2,55.79548071,Lucknow
C043,Male,37,49209,Professional,Divorced,4,Own,643803,3,553,5,27548,20046,P043,Beauty Products,2,48.49337424,91.06105755,176,5,59.14971552,Pune
C044,Male,48,32898,Homemaker,Divorced,3,Rent,748538,6,662,5,10440,2022,P044,Jewelry,16,138.541554,75.91325558,61,5,74.14541488,Mumbai
C045,Female,36,41208,Homemaker,Widowed,4,Own,154131,9,824,3,18798,9139,P045,Jewelry,16,144.8181024,99.92585146,112,0,8.797499923,Hyderabad
C046,Male,25,43463,Homemaker,Married,5,Own,636947,8,772,2,11038,12641,P046,Beauty Products,2,4.885695093,83.65460507,66,5,51.84344442,Lucknow
C047,Male,22,36667,Manager,Married,2,Rent,824850,17,606,4,6335,13133,P047,Books,11,148.441236,128.5066645,33,3,56.37689228,Surat
C048,Male,18,42934,Homemaker,Married,3,Own,929502,11,687,3,21300,20572,P048,Clothing,6,58.38347071,114.9430733,151,5,19.9478022,Vadodara
C049,Female,46,44581,Manager,Widowed,3,Rent,171850,16,804,5,25755,23415,P049,Outdoor Gear,8,141.9408996,116.3668133,155,2,117.5711933,Surat
C050,Male,29,33006,Homemaker,Divorced,4,Own,800766,16,958,2,17142,20016,P050,Books,0,42.72281297,38.28265444,58,3,21.98574992,Mumbai
C051,Female,35,55195,Professional,Widowed,4,Rent,877656,3,577,3,23948,18458,P051,Clothing,6,47.73853819,107.7628531,124,3,56.01779406,Vadodara
C052,Male,55,44113,Executive,Married,3,Own,270474,3,541,3,5352,14898,P052,Jewelry,12,134.8196286,107.5574098,100,0,21.91464433,Hyderabad
C053,Female,64,38979,Technician,Single,4,Rent,72734,19,730,4,9605,12052,P053,Home Appliances,6,103.643333,112.8698691,95,2,39.82119109,Lucknow
C054,Male,19,23283,Technician,Married,4,Rent,525667,4,786,2,21008,16548,P054,Clothing,18,28.98745305,23.78426433,6,5,53.22604653,Kolkata
C055,Female,24,49042,Student,Divorced,2,Rent,505861,16,709,3,29868,14829,P055,Books,11,11.53456571,99.59065517,112,0,-2.331560258,Jaipur
C056,Male,38,53430,Executive,Married,2,Rent,324329,3,771,5,11911,7912,P056,Electronics,10,162.0099118,100.6953281,4,3,36.75743836,Lucknow
C057,Male,44,26283,Homemaker,Widowed,5,Rent,225279,8,945,5,26090,21399,P057,Jewelry,6,100.1664102,66.4561653,174,4,62.78073936,Kolkata
C058,Female,30,21895,Executive,Widowed,5,Rent,688951,5,707,3,28533,21874,P058,Home Appliances,13,43.60595639,99.9314227,98,1,94.31465759,Kanpur
C059,Female,22,43357,Technician,Married,5,Own,139411,1,548,1,22914,24667,P059,Books,19,67.31660361,117.5162906,101,1,57.3149387,Kanpur
C060,Female,26,33971,Manager,Married,4,Own,227330,8,608,3,24737,24224,P060,Clothing,3,143.2185056,129.3698554,148,3,23.29871952,Visakhapatnam
C061,Male,46,46402,Executive,Divorced,3,Own,354272,13,540,3,28453,4320,P061,Beauty Products,6,169.6979872,124.5824836,60,0,39.31539759,Delhi
C062,Male,45,33949,Executive,Widowed,2,Own,451842,17,969,1,20185,11199,P062,Electronics,1,54.17725604,133.6028602,99,3,87.2632808,Kanpur
C063,Male,32,29288,Manager,Divorced,5,Own,657103,9,657,3,11715,3734,P063,Outdoor Gear,19,203.3781674,58.73106154,47,0,64.70902234,Ludhiana
C064,Male,37,49340,Technician,Widowed,5,Own,712819,10,995,5,20118,14986,P064,Outdoor Gear,5,122.0886708,61.2943607,62,1,46.58085588,Bhopal
C065,Male,56,55785,Manager,Widowed,5,Rent,669458,16,631,5,29245,23522,P065,Outdoor Gear,9,76.31668633,136.8393679,175,1,37.71357333,Bangalore
C066,Male,49,48822,Professional,Married,4,Rent,251706,14,569,2,20682,11167,P066,Home Appliances,17,95.59835418,60.46115304,123,3,29.91062323,Delhi
C067,Male,30,36332,Technician,Widowed,5,Rent,511136,1,603,2,23243,8876,P067,Jewelry,1,5.328682277,30.77107162,66,0,46.15848345,Visakhapatnam
C068,Female,32,57981,Self-employed,Divorced,2,Own,932001,5,531,2,19139,14499,P068,Jewelry,3,108.0624274,97.44002656,153,4,49.41190629,Ludhiana
C069,Male,61,26407,Homemaker,Divorced,2,Own,811256,14,644,5,12276,12601,P069,Outdoor Gear,12,112.2154835,80.95552212,60,0,26.39207445,Mumbai
C070,Male,26,52461,Executive,Married,3,Rent,912038,19,964,2,7509,17305,P070,Beauty Products,9,82.71019501,156.3495931,38,0,58.31493323,Bangalore
C071,Female,52,52880,Technician,Single,5,Own,244048,17,908,5,5772,20386,P071,Jewelry,9,77.13072928,142.7369867,32,3,69.36034036,Pune
C072,Male,60,25360,Student,Divorced,5,Own,314841,6,519,3,23341,18147,P072,Outdoor Gear,10,113.5272856,103.9442394,72,2,35.42874433,Lucknow
C073,Male,40,29913,Manager,Single,5,Rent,902962,11,857,2,5064,5471,P073,Clothing,13,171.4707857,109.3631717,123,0,2.291437257,Lucknow
C074,Male,25,48890,Professional,Widowed,4,Rent,978162,5,613,1,28632,5159,P074,Home Appliances,12,150.3478694,157.5021157,111,2,53.1036162,Bangalore
C075,Female,36,46974,Self-employed,Divorced,3,Rent,775241,11,910,1,20716,14828,P075,Home Appliances,16,92.47942832,28.68532889,154,2,100.1828144,Delhi
C076,Male,39,49403,Student,Single,5,Rent,455668,19,522,1,9856,14060,P076,Jewelry,12,110.8447819,218.3878122,1,1,20.00195074,Agra
C077,Female,24,54364,Professional,Divorced,4,Rent,492417,1,839,1,21675,16584,P077,Jewelry,19,185.6933119,139.921133,46,3,40.59236906,Pune
C078,Male,31,52408,Professional,Married,2,Rent,254891,12,596,2,12771,18785,P078,Clothing,5,19.88675109,92.69967875,105,2,49.68068226,Nagpur
C079,Male,31,36953,Homemaker,Divorced,5,Own,546078,8,796,2,14348,15808,P079,Jewelry,20,91.10176117,191.1821688,163,2,33.3627846,Chennai
C080,Male,33,47847,Self-employed,Married,5,Rent,317837,18,828,5,17361,9286,P080,Clothing,14,82.05188752,166.3001592,173,5,75.84952629,Nashik
C081,Male,20,52845,Self-employed,Single,3,Own,553008,17,803,5,13527,6096,P081,Home Appliances,8,39.67195729,204.9721382,99,0,45.10672296,Agra
C082,Male,21,22703,Professional,Widowed,2,Rent,76212,16,867,2,15360,10776,P082,Electronics,19,116.9578954,141.3277634,29,4,69.49105523,Kolkata
C083,Male,43,38535,Executive,Married,3,Own,591071,8,680,4,8728,14520,P083,Clothing,9,136.8750837,15.10806263,68,4,58.13082878,Vadodara
C084,Female,26,56039,Technician,Widowed,3,Rent,404565,14,979,4,19520,20429,P084,Books,20,63.55484103,111.2856606,125,1,50.20697549,Surat
C085,Female,31,32158,Executive,Widowed,4,Rent,848479,9,790,3,13693,14517,P085,Clothing,7,94.72795322,72.77517398,27,0,66.02512135,Surat
C086,Male,37,46916,Homemaker,Single,2,Rent,644986,17,648,4,8252,1741,P086,Outdoor Gear,18,179.4759723,87.48729715,25,2,71.12502864,Agra
C087,Female,25,50236,Professional,Widowed,2,Own,787465,20,962,2,14071,24551,P087,Clothing,15,74.75224661,107.9094111,69,5,17.08023352,Visakhapatnam
C088,Female,44,41767,Homemaker,Married,4,Rent,111028,7,756,1,25673,13051,P088,Beauty Products,2,95.33086136,92.58448208,54,1,11.73833664,Vadodara
C089,Male,40,34676,Self-employed,Widowed,5,Own,693823,10,744,3,20062,6569,P089,Books,14,70.37415133,41.52542096,37,5,110.3149383,Vadodara
C090,Male,53,49447,Manager,Widowed,5,Rent,605305,16,996,4,27768,10091,P090,Outdoor Gear,10,24.83356131,201.3108242,107,0,-7.864360068,Surat
C091,Male,60,45032,Executive,Divorced,2,Own,193495,10,683,5,21086,16795,P091,Beauty Products,5,149.3222194,70.83793933,57,3,81.78664704,Ludhiana
C092,Male,32,47094,Technician,Divorced,3,Rent,109681,16,642,5,27892,5748,P092,Clothing,20,98.81744248,30.27712916,16,4,46.0467303,Pune
C093,Male,49,37928,Self-employed,Single,3,Rent,950665,3,556,3,16355,22508,P093,Jewelry,5,127.6929108,177.3608608,45,4,51.50288112,Patna
C094,Male,31,49967,Executive,Married,3,Rent,692761,6,681,2,10601,9053,P094,Clothing,10,63.52221306,191.33861,44,3,25.49116745,Pune
C095,Female,24,38073,Manager,Single,2,Own,459990,8,926,3,27488,4193,P095,Clothing,11,127.0595711,96.52948865,103,5,97.52219419,Visakhapatnam
C096,Male,52,46576,Professional,Married,4,Rent,973032,11,633,4,7498,10206,P096,Outdoor Gear,20,175.9280128,244.5414814,83,1,62.74694838,Mumbai
C097,Female,35,48781,Executive,Single,2,Rent,722495,6,793,2,6885,18748,P097,Home Appliances,10,122.1274727,181.3690406,160,2,53.4636384,Kanpur
C098,Male,34,48455,Self-employed,Widowed,4,Own,853973,4,679,4,24022,5888,P098,Electronics,7,118.8948061,171.0213887,66,2,34.00578379,Agra
C099,Male,24,45274,Student,Married,5,Rent,637326,8,700,1,23136,9878,P099,Home Appliances,12,75.35108943,68.4101827,2,2,42.24684724,Kanpur
C100,Female,31,22733,Manager,Divorced,4,Rent,905197,8,958,5,14558,6355,P100,Books,11,37.19150498,167.9482717,67,5,91.4376642,Kolkata
C101,Female,52,39462,Technician,Widowed,4,Own,655405,16,680,5,24600,2630,P101,Outdoor Gear,2,73.54476425,29.32668849,163,1,12.45484546,Bhopal
C102,Male,35,29000,Executive,Single,3,Own,667703,14,533,5,8100,17518,P102,Clothing,6,218.3272725,179.4818464,158,0,30.62270982,Visakhapatnam
C103,Female,60,28266,Homemaker,Widowed,2,Rent,493632,17,587,2,5209,18140,P103,Outdoor Gear,1,33.5114023,75.92949918,174,4,72.19793227,Chennai
C104,Female,59,46946,Executive,Single,3,Rent,912170,4,872,5,5390,17215,P104,Outdoor Gear,1,70.93476054,146.9206241,13,0,18.95265329,Kolkata
C105,Female,44,26830,Professional,Divorced,3,Own,313918,13,766,2,24194,6860,P105,Home Appliances,7,92.07648568,37.8393945,46,0,68.53529268,Patna
C106,Male,53,55945,Executive,Single,2,Own,635611,7,554,1,16178,18374,P106,Books,18,134.481787,89.90002328,3,3,28.8501355,Mumbai
C107,Male,34,29268,Student,Widowed,4,Rent,966071,17,883,1,15551,20722,P107,Outdoor Gear,2,128.7582448,42.20307663,53,5,33.4352338,Agra
C108,Male,32,27473,Technician,Divorced,3,Rent,488447,1,860,2,21616,11976,P108,Jewelry,4,96.62040239,148.8668637,54,4,79.94099766,Nashik
C109,Female,49,42888,Executive,Widowed,4,Rent,778128,13,618,2,20609,1123,P109,Electronics,20,107.1688255,25.85358045,59,5,75.03270008,Visakhapatnam
C110,Male,22,50219,Executive,Single,4,Own,911474,10,512,2,5825,21235,P110,Jewelry,5,59.30845969,26.76237623,75,5,45.06665727,Nashik
C111,Male,60,29823,Self-employed,Single,3,Own,167821,6,899,4,22709,3626,P111,Books,17,93.61592963,137.655086,84,3,-5.434176276,Ludhiana
C112,Male,36,45667,Manager,Widowed,2,Rent,986847,18,984,3,24273,7018,P112,Clothing,16,75.88347088,57.06723303,131,2,35.0838245,Vadodara
C113,Female,54,24168,Self-employed,Married,2,Rent,663314,18,858,1,28226,20050,P113,Electronics,19,87.11897836,-16.10971962,159,5,31.0428118,Nagpur
C114,Male,20,44151,Homemaker,Widowed,5,Own,489904,15,789,5,28551,19806,P114,Electronics,9,96.31275556,117.1362395,100,1,31.48672518,Chennai
C115,Female,18,47414,Self-employed,Married,4,Own,427674,15,684,1,6751,17520,P115,Clothing,7,111.0560589,71.79994499,116,1,35.98044339,Patna
C116,Female,42,27659,Executive,Widowed,5,Own,825690,4,621,1,13677,24666,P116,Outdoor Gear,12,39.94786318,149.9967098,13,4,66.90240106,Ludhiana
C117,Female,51,52823,Homemaker,Divorced,4,Own,832813,17,586,1,22427,18206,P117,Outdoor Gear,14,141.3355748,244.3913374,75,4,23.16075556,Lucknow
C118,Female,47,35916,Professional,Single,3,Rent,264003,7,708,1,13965,24887,P118,Beauty Products,10,75.7139172,90.40047428,92,1,74.48227582,Patna
C119,Female,59,39310,Manager,Widowed,3,Own,592344,19,528,1,25158,22842,P119,Electronics,14,159.5871235,165.3408551,73,1,79.18212734,Delhi
C120,Female,45,20501,Self-employed,Divorced,4,Own,537585,20,521,3,16891,16948,P120,Beauty Products,18,107.772888,121.7090514,148,5,61.4718175,Agra
C121,Male,50,40394,Technician,Divorced,3,Own,575307,12,678,5,8038,19014,P121,Clothing,5,96.01343757,25.11406287,23,1,30.27737307,Hyderabad
C122,Male,56,33298,Self-employed,Divorced,4,Rent,281871,11,538,4,15119,7372,P122,Electronics,2,66.08168946,72.45462173,104,4,23.88061536,Pune
C123,Female,26,32484,Professional,Widowed,3,Own,609451,14,926,5,18220,3037,P123,Beauty Products,16,116.3907318,123.3845403,122,3,110.0610991,Delhi
C124,Female,30,51244,Executive,Widowed,5,Own,638432,9,622,1,28936,16900,P124,Outdoor Gear,11,141.00992,32.91548698,159,3,52.33792658,Hyderabad
C125,Male,27,59691,Student,Widowed,4,Rent,530644,9,530,5,9892,14982,P125,Electronics,3,106.7281966,8.875058106,127,4,121.5701629,Visakhapatnam
C126,Female,33,41310,Self-employed,Divorced,5,Own,691321,4,790,5,24665,3611,P126,Jewelry,2,157.7980072,93.60159488,31,4,88.35635155,Nashik
C127,Female,55,30966,Manager,Single,5,Rent,892469,11,544,5,14904,6920,P127,Clothing,9,97.04433824,98.35942254,159,4,24.9388231,Kanpur
C128,Male,35,59566,Self-employed,Single,3,Rent,410891,19,952,2,26329,7611,P128,Clothing,18,81.70923605,83.32426331,100,2,26.54503928,Agra
C129,Male,23,39350,Professional,Single,3,Rent,451990,7,896,3,15647,6808,P129,Electronics,11,142.1598779,37.11427545,127,3,2.708166858,Visakhapatnam
C130,Female,29,26208,Executive,Divorced,4,Rent,400732,14,832,1,20452,11986,P130,Jewelry,8,73.13298474,16.54338507,4,0,75.79459959,Mumbai
C131,Male,27,27208,Homemaker,Divorced,4,Rent,165193,10,814,5,29794,12295,P131,Books,1,59.8127063,156.5241176,114,1,72.92303645,Chennai
C132,Female,27,39111,Executive,Widowed,5,Rent,852138,10,962,1,18770,19087,P132,Clothing,10,144.4654318,206.4385152,91,2,52.12722033,Chennai
C133,Female,28,38877,Manager,Married,5,Own,559153,6,989,1,11489,24212,P133,Books,19,39.84270964,53.3858428,24,4,12.16776083,Jaipur
C134,Female,31,22391,Executive,Divorced,4,Rent,673292,7,602,4,13799,11128,P134,Electronics,5,36.28101902,167.6052528,68,0,113.8648028,Visakhapatnam
C135,Male,32,43979,Homemaker,Widowed,5,Own,190739,10,899,5,15662,3578,P135,Jewelry,11,183.4647622,161.0103328,146,4,49.8325161,Jaipur
C136,Female,35,24223,Homemaker,Married,3,Rent,164875,2,742,4,21096,2378,P136,Home Appliances,12,74.57806198,122.5161741,176,1,49.20203954,Surat
C137,Female,23,47725,Technician,Single,5,Rent,823186,17,988,3,29666,13892,P137,Home Appliances,0,58.02375186,92.50531312,39,4,101.6969043,Jaipur
C138,Female,18,43947,Homemaker,Single,4,Own,379300,17,862,4,11020,7844,P138,Jewelry,10,132.0899827,153.571062,116,1,67.11213283,Visakhapatnam
C139,Male,49,58456,Executive,Married,5,Rent,718883,20,518,1,10749,24611,P139,Clothing,0,163.0837546,159.8308535,134,1,9.024667702,Jaipur
C140,Male,27,35201,Technician,Divorced,2,Rent,150525,12,784,1,27390,4495,P140,Outdoor Gear,0,100.017111,-13.52952605,92,0,43.43994653,Bhopal
C141,Female,44,23279,Executive,Widowed,2,Rent,144218,2,627,1,11142,7432,P141,Outdoor Gear,18,153.1789834,70.59171297,135,5,4.490702949,Lucknow
C142,Male,51,29790,Executive,Married,2,Rent,557888,20,983,1,20391,9683,P142,Clothing,11,187.1366624,69.55266146,170,0,84.44408561,Mumbai
C143,Male,64,33682,Technician,Divorced,5,Own,750093,4,835,5,25534,10125,P143,Books,5,122.7001109,155.7859098,101,3,12.487838,Kolkata
C144,Female,34,58493,Manager,Divorced,5,Rent,759914,6,700,5,18879,1655,P144,Home Appliances,3,119.464466,93.23920173,77,0,38.88009983,Nagpur
C145,Female,64,29030,Executive,Widowed,2,Own,352839,6,637,2,22883,20831,P145,Outdoor Gear,0,151.2211238,100.4674863,32,5,72.90979492,Ahmedabad
C146,Female,19,32338,Homemaker,Single,4,Own,343590,7,637,4,23073,24542,P146,Home Appliances,8,104.6027264,82.2584644,80,5,64.37374425,Patna
C147,Female,55,39555,Student,Married,5,Rent,931420,19,605,3,24563,14669,P147,Clothing,0,129.0643294,79.53062846,113,4,41.93658212,Nagpur
C148,Female,49,24184,Executive,Married,5,Rent,346207,10,760,5,26489,3063,P148,Clothing,8,173.256883,74.14037676,31,5,30.71594044,Mumbai
C149,Female,41,32673,Professional,Divorced,4,Own,94953,7,847,2,16344,1438,P149,Clothing,8,96.75403258,109.8092124,81,5,27.41010786,Kanpur
C150,Female,41,27623,Technician,Divorced,2,Rent,71628,3,792,3,27750,2752,P150,Electronics,5,31.41007211,93.2796561,111,2,50.5107554,Ahmedabad
C151,Male,27,22376,Professional,Divorced,4,Rent,643849,17,733,5,26439,17474,P151,Clothing,0,13.88194323,103.3058693,109,4,36.49869114,Hyderabad
C152,Male,33,59825,Technician,Divorced,4,Own,759841,11,767,5,25112,5854,P152,Outdoor Gear,6,130.8909144,19.93382863,78,5,93.06545053,Jaipur
C153,Male,64,27316,Manager,Married,5,Rent,94025,1,757,3,11485,9399,P153,Jewelry,5,169.6817975,49.48951442,24,2,56.00019584,Ludhiana
C154,Female,26,48742,Technician,Single,5,Rent,193398,7,849,2,22075,15905,P154,Clothing,0,74.79739321,68.6282418,156,3,78.53419794,Hyderabad
C155,Female,48,54772,Executive,Single,3,Rent,871694,12,546,2,14382,5099,P155,Home Appliances,2,17.35305848,101.3164774,116,4,68.68385519,Nagpur
C156,Female,56,59527,Manager,Married,3,Rent,918763,3,831,2,28871,17092,P156,Books,9,30.16341273,75.39785045,162,1,31.13104764,Nagpur
C157,Female,55,33782,Student,Divorced,4,Own,161487,2,769,3,16738,15088,P157,Books,18,56.08982767,136.7861394,69,1,57.40365815,Nagpur
C158,Female,28,56285,Technician,Single,2,Rent,241831,4,942,1,14378,18476,P158,Books,1,99.58164496,34.18125701,141,0,91.7053013,Kolkata
C159,Male,31,41725,Self-employed,Single,2,Rent,975274,17,757,5,10150,21248,P159,Beauty Products,17,61.88979663,134.1975984,50,0,55.46919982,Hyderabad
C160,Female,57,48910,Student,Single,2,Rent,908567,3,949,2,24655,7796,P160,Books,17,73.41720374,158.1452498,81,0,112.3101344,Pune
C161,Female,55,23347,Executive,Divorced,4,Rent,927334,19,908,2,7784,8559,P161,Beauty Products,18,70.34430384,130.5900473,156,1,29.76042658,Bhopal
C162,Female,63,57177,Professional,Single,2,Own,465838,14,831,4,10302,8021,P162,Clothing,2,96.219971,33.46143771,0,3,65.9422854,Kanpur
C163,Male,46,34686,Student,Single,4,Rent,231789,10,621,5,20597,13164,P163,Jewelry,3,56.09484805,168.0382581,140,3,23.39719688,Mumbai
C164,Female,48,24459,Manager,Widowed,4,Own,59667,11,829,3,18462,20143,P164,Beauty Products,18,24.98638707,107.8334621,162,4,54.12528212,Mumbai
C165,Female,26,36390,Homemaker,Single,2,Own,943420,19,500,4,19634,11039,P165,Beauty Products,7,172.3888891,132.0859207,54,0,83.20524531,Ahmedabad
C166,Male,27,59762,Technician,Single,2,Own,991760,13,836,5,12560,12851,P166,Beauty Products,1,97.97747774,126.0010555,169,2,71.90884626,Delhi
C167,Female,48,24507,Self-employed,Single,5,Rent,653628,12,653,2,8238,5109,P167,Electronics,10,68.94572744,77.18861606,130,2,40.48300148,Nashik
C168,Female,24,52533,Professional,Married,4,Rent,135134,11,539,2,6248,6565,P168,Books,6,155.6083103,156.1179199,96,2,45.91644842,Pune
C169,Male,40,42243,Self-employed,Widowed,4,Rent,274827,8,863,2,29773,7017,P169,Outdoor Gear,4,63.05174809,6.74156349,48,2,45.96208764,Nagpur
C170,Female,26,26535,Technician,Divorced,5,Own,275108,12,628,1,14807,2863,P170,Beauty Products,16,94.23629718,150.0763344,18,3,52.53912703,Jaipur
C171,Female,32,35554,Homemaker,Single,4,Own,662524,13,940,2,20121,4452,P171,Books,18,102.4907457,156.7681961,57,2,-1.831404982,Jaipur
C172,Female,25,37719,Technician,Widowed,2,Rent,428529,9,813,4,20377,10370,P172,Home Appliances,20,117.8647399,87.36422549,21,2,63.31332177,Lucknow
C173,Female,24,45798,Executive,Widowed,2,Own,590151,20,685,2,21698,3457,P173,Beauty Products,20,29.69421002,122.8416099,38,0,39.81995933,Bhopal
